USER;ID; %CPU ;%MEM;VSZ; RSS TTY;STAT START; TIME;  COMMAND
root; 15192;0.0;0.0;0; 0 ?;I;15:51; 0:00;\_ [kworker/1:1-inet_frag_wq]
root; 15274;0.0;0.0;0; 0 ?;I;15:51; 0:00;\_ [kworker/u8:1-flush-8:16]
root; 15275;0.0;0.0;0; 0 ?;I;15:52; 0:00;\_ [kworker/2:1-events]
root; 15775;0.0;0.0;0; 0 ?;I;15:57; 0:00;\_ [kworker/0:2-events]
root; 15776;0.0;0.0;0; 0 ?;I;15:57; 0:00;\_ [kworker/1:0-events]
root; 15812;0.0;0.0;0; 0 ?;I<; 15:57; 0:00;\_ [kworker/u9:0-hci0]
root; 1;0.0;0.1 166196 11832 ?;Ss; nov01; 0:01 /sbin/init
root;17;0.0;0.3;56520 27932 ?;Ss; nov01; 0:00 /usr/lib/systemd/systemd-journald
root;29;0.0;0.1;32104;9904 ?;Ss; nov01; 0:00 /usr/lib/systemd/systemd-udevd
systemd+; 365;0.0;0.0;89488;6816 ?;Ssl;nov01; 0:00 /usr/lib/systemd/systemd-timesyncd
dbus;67;0.0;0.0; 9088;5488 ?;Ss; nov01; 0:06 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root;69;0.0;0.1;48796;8524 ?;Ss; nov01; 0:00 /usr/lib/systemd/systemd-logind
root;82;0.0;0.2 406508 23180 ?;Ssl;nov01; 0:04 /usr/bin/NetworkManager --no-daemon
root;87;0.0;0.2 142184 19760 ?;Ssl;nov01; 0:00 /usr/bin/sddm
root;99;0.4;1.2 1079372 101632 tty1; Ssl+ nov01;10:03;\_ /usr/lib/Xorg -nolisten tcp -background none -seat seat0 vt1 -auth /var/run/sddm/{b0dd6b3a-47fc-4f9d-9af4-6107d48983a4} -noreset -displayfd 17
root;70;0.0;0.2;65764 17952 ?;S;nov01; 0:00;\_ /usr/lib/sddm/sddm-helper --socket /tmp/sddm-autha23831bd-7a77-4e21-b58d-e7fb6f491699 --id 1 --start i3 --user rafaelraposo
rafaelr+; 486;0.0;0.2 253924 22128 ?;S;nov01; 0:06;\_ i3 -a --restart /run/user/1000/i3/restart-state.486
root;96;0.0;0.1;15116;9352 ?;Ss; nov01; 0:00 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
polkitd;436;0.0;0.1 313016;9744 ?;Ssl;nov01; 0:00 /usr/lib/polkit-1/polkitd --no-debug
root;37;0.0;0.1 392192 15200 ?;Ssl;nov01; 0:05 /usr/lib/udisks2/udisksd
root;60;0.0;0.1 233364;9052 ?;Ssl;nov01; 0:01 /usr/lib/upowerd
rafaelr+; 472;0.0;0.1;17904 10776 ?;Ss; nov01; 0:00 /usr/lib/systemd/systemd --user
rafaelr+; 473;0.0;0.0;22296;3084 ?;S;nov01; 0:00;\_ (sd-pam)
rafaelr+; 491;0.0;0.0; 8464;4876 ?;Ss; nov01; 0:02;\_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rafaelr+; 545;0.0;0.0 307764;7092 ?;Ssl;nov01; 0:00;\_ /usr/lib/at-spi-bus-launcher
rafaelr+; 551;0.0;0.0; 8276;3964 ?;S;nov01; 0:01;|; \_ /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
rafaelr+; 554;0.0;0.2 1809432 16444 ?; Ssl;nov01; 1:48;\_ /usr/bin/pulseaudio --daemonize=no --log-target=journal
rafaelr+; 572;0.0;0.1 236528;9340 ?;Sl; nov01; 0:00;|; \_ /usr/lib/pulse/gsettings-helper
rafaelr+; 564;0.0;0.0 160976;6820 ?;Sl; nov01; 0:06;\_ /usr/lib/at-spi2-registryd --use-gnome-session
rafaelr+;1340;0.0;1.2 913032 104328 ?; Sl; nov01; 0:04;\_ /usr/bin/flameshot
rafaelr+;3512;0.0;0.5 545836 42828 ?;Ssl;nov02; 0:03;\_ /usr/lib/kactivitymanagerd
