cpu;ram;disco;temp
921.0;1.6;3.2;45.0
1194.7;1.6;3.2;45.0
836.1;1.6;3.2;45.0
928.3;1.6;3.2;44.0
723.2;1.6;3.2;44.0
861.2;1.6;3.2;44.0
1044.1;1.6;3.2;44.0
946.7;1.6;3.2;44.0
1048.9;1.6;3.2;44.0
927.3;1.6;3.2;44.0
900.9;1.6;3.2;44.0
711.7;1.6;3.2;44.0
1400.5;1.6;3.2;44.0
1221.4;1.6;3.2;44.0
938.6;1.6;3.2;44.0
1408.6;1.6;3.2;44.0
850.6;1.6;3.2;44.0
836.6;1.6;3.2;44.0
998.6;1.6;3.2;44.0
1049.9;1.6;3.2;44.0
814.8;1.6;3.2;44.0
839.7;1.6;3.2;44.0
899.3;1.6;3.2;44.0
1832.2;1.6;3.2;44.0
1447.7;1.6;3.2;44.0
1802.5;1.6;3.2;49.0
1896.5;1.6;3.2;49.0
1738.0;1.6;3.2;49.0
934.6;1.6;3.2;49.0
854.3;1.6;3.2;49.0
815.8;1.6;3.2;49.0
1052.1;1.6;3.2;49.0
1264.5;1.6;3.2;45.0
1374.8;1.6;3.2;45.0
1036.2;1.6;3.2;45.0
1129.3;1.6;3.2;45.0
825.6;1.6;3.2;45.0
791.5;1.6;3.2;45.0
899.2;1.6;3.2;45.0
977.6;1.6;3.2;45.0
995.1;1.6;3.2;45.0
920.1;1.6;3.2;44.0
765.1;1.6;3.2;44.0
926.7;1.6;3.2;44.0
807.9;1.6;3.2;44.0
804.4;1.6;3.2;44.0
793.8;1.6;3.2;44.0
797.6;1.6;3.2;44.0
1036.1;1.6;3.2;44.0
1435.5;1.6;3.2;44.0
1895.4;1.6;3.2;44.0
1895.4;1.6;3.2;44.0
1896.6;1.6;3.2;44.0
1622.7;1.6;3.2;44.0
1897.7;1.6;3.2;44.0
1237.8;1.6;3.2;46.0
982.7;1.6;3.2;46.0
892.6;1.6;3.2;46.0
1024.2;1.6;3.2;46.0
789.3;1.6;3.2;46.0
1572.7;1.6;3.2;46.0
1236.7;1.6;3.2;46.0
977.2;1.6;3.2;46.0
917.6;1.6;3.2;46.0
1027.9;1.6;3.2;45.0
782.7;1.6;3.2;45.0
792.6;1.6;3.2;45.0
786.1;1.6;3.2;45.0
796.9;1.6;3.2;45.0
883.9;1.6;3.2;45.0
797.2;1.6;3.2;45.0
790.1;1.6;3.2;45.0
