,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/15/2022 13:42:58,0.7692337,0.7692337,1.53846145,5.384612,2.11538672,38,38,38,35,42,1310.40137,1310.40137,1310.40137,1411.20154,3.193544,0.393223,0.0328840166,0,100.80011
09/15/2022 13:42:59,2.3317337,0.78125,0.78125,1.5625,1.36418343,37,37,37,35,41,1310.40137,1310.40137,1310.40137,1310.40137,3.08415985,0.319321126,0.0171349011,0,100.8001
09/15/2022 13:43:00,1.5625,3.125,0,3.90625,2.1484375,37,37,37,36,41,1411.20142,1411.20142,1310.40125,1310.40125,3.257916,0.488871843,0.02340344,0,100.8001
09/15/2022 13:43:01,1.53846145,1.53846145,0.7692337,6.153846,2.50000358,37,37,38,36,42,1411.2019,1411.2019,1310.40173,1512.002,2.86178851,0.253470123,0.0156760775,0,100.800133
09/15/2022 13:43:02,2.30768919,0,0,4.615384,1.73076987,38,36,37,36,41,1411.20129,1310.40125,1411.20129,1310.40125,3.08333635,0.399273574,0.0303092916,0,100.800095
09/15/2022 13:43:03,1.5625,0,0.78125,7.03125,2.34375,38,38,36,36,41,1411.202,1411.202,1411.202,1411.202,3.0612216,0.248527646,0.0224258564,0,100.800148
09/15/2022 13:43:04,2.29603648,1.5625,3.1129837,3.858173,2.70742178,38,37,38,37,41,1310.40063,1310.40063,1310.40063,1411.20068,3.6731956,0.372959763,0.0216746572,0,100.800049
09/15/2022 13:43:05,3.076923,2.30768919,1.51515007,3.076923,2.49416828,37,38,37,35,41,1411.20215,1411.20215,1310.402,1310.402,3.338092,0.372078985,0.0227374937,0,100.800156
09/15/2022 13:43:06,0.7692337,0.757575035,1.53846145,6.92307949,2.497089,37,36,37,36,42,1310.40173,1310.40173,1411.20178,1411.20178,3.02968264,0.3922201,0.0322792642,0,100.800125
09/15/2022 13:43:07,1.5625,0.78125,2.34375,4.6875,2.34375,38,37,37,35,41,1411.20154,1411.20154,1310.40149,1411.20154,2.954834,0.4261383,0.0210545082,0,100.80011
09/15/2022 13:43:08,2.34375,1.5625,0.757575035,3.125,1.94720626,37,37,38,35,41,1310.40137,1310.40137,1310.40137,1310.40137,3.30929852,0.349311829,0.0340806656,0,100.80011
09/15/2022 13:43:09,1.53846145,0,0.78125,6.153846,2.1183908,38,37,37,34,41,1310.40137,1310.40137,1310.40137,1310.40137,2.874364,0.241198137,0.0177020561,0,100.8001
09/15/2022 13:43:10,2.34375,0,0.78125,7.03125,2.5390625,37,36,38,35,41,1411.2019,1411.2019,1411.2019,1411.2019,2.85916734,0.3041068,0.0208166521,0,100.800133
09/15/2022 13:43:11,2.34375,0.78125,2.31971145,6.25,2.92367935,37,36,37,36,42,1310.40125,1310.40125,1310.40125,1310.40125,3.09307384,0.366132379,0.03285177,0,100.800095
09/15/2022 13:43:12,2.30768919,2.2964,3.1129837,5.384612,3.27541828,37,36,37,36,41,1411.20166,1411.20166,1411.20166,1411.20166,3.28627348,0.464627236,0.03898928,0,100.800117
09/15/2022 13:43:13,1.58730149,1.58730149,3.125,3.96825075,2.56696343,37,37,37,36,41,1310.40125,1310.40125,1310.40125,1310.40125,2.94036841,0.261806041,0.0196754187,0,100.800095
09/15/2022 13:43:14,0,0,1.53846145,5.384612,1.73076987,37,36,37,36,42,1310.40149,1411.20154,1411.20154,1310.40149,3.48405623,0.3075995,0.0351766422,0,100.800117
